ID,F1,F2,Label
284628430,0.054823447,0.23817953,male
64489209,0.22212973,0.3356805,female
234866000,0.09735631,0.37263718,female
382947784,0.06054135,0.11361584,female
356418350,0.052560665,0.076355755,female
235832375,0.38211384,0.4625151,female
309800804,0.12638444,0.68292665,male
295340462,0.102509305,0.20181504,female
347096222,0.0,0.11866315,female
101593344,0.2250046,0.27216393,female
380479475,0.06167605,0.0,female
290857774,0.0,0.02756241,female
256773287,0.06514662,0.13731007,male
309984509,0.58806354,0.40979367,female
292683893,0.06712254,0.13718921,male
243429263,0.022649558,0.06637636,female
69569991,0.8998368,0.6608759,female
301117918,0.025178377,0.014930824,female
268366947,0.14709681,0.09700692,female
335518656,0.10580294,0.046674024,female
262454953,0.40948737,0.498805,female
373115502,0.13299605,0.16443978,female
352884478,0.011162488,0.04424711,female
128091149,0.17925888,0.50823104,female
285607620,0.07638366,0.08556184,female
37749959,0.0,2.4097598,male
320884945,0.19076091,0.6771828,male
251799369,0.07130824,0.12184484,female
347524374,0.07805953,0.17636015,male
393642659,0.18596864,0.15690804,female
322956056,0.0646717,0.25822958,female
28906465,0.7905677,0.801796,female
238452879,0.040205583,0.05443007,female
290268568,0.028660655,0.272782,male
247085273,0.04828263,1.0282496,male
309106296,0.55370826,0.554112,male
206912999,0.0,0.21377072,male
394418954,0.015082088,0.13309316,male
81647059,0.29641852,0.3278169,female
88870358,1.2191919,1.1072644,female
129371328,0.32169873,0.1999956,female
376466499,0.5480532,0.52790374,male
58374966,0.99863756,1.7071517,male
33055549,0.47648567,0.64970917,male
146868029,0.0,0.055992484,male
243319382,0.063767485,0.08502856,female
53334382,0.30094817,0.88287777,male
263691205,0.04495964,0.99597937,male
134954386,0.32157236,0.3229629,female
23553730,0.33080044,0.24237928,female
333194654,0.120438285,0.08605748,female
261914244,0.27187574,0.45091563,male
264514479,0.0,0.1404971,male
270906614,0.15043376,0.6394832,male
76225956,0.020953937,0.1446212,male
253297807,0.13561438,0.3359327,female
218099040,0.17109445,0.24662656,male
254108070,0.09554931,0.097419344,female
340737708,0.039074812,0.039487906,female
39897844,0.05830388,0.0,male
164799361,0.0064290096,0.061803896,male
294823376,0.19083537,0.29274625,female
268557840,0.17834474,0.2787583,female
293213181,0.10587438,0.29144037,female
380053409,0.2821001,0.16325025,male
231497380,0.09324394,0.10994607,male
321447612,0.38240683,1.3087524,male
123042176,0.0,0.025898723,female
355248546,1.2952603,1.1713861,male
62552349,0.5446303,0.8209032,male
62648441,0.23072974,0.15056917,female
208279736,0.0,0.25595364,female
79753992,0.22969198,0.27467754,female
34094724,0.04069862,0.15717405,male
30597694,0.94859064,0.97588736,female
252413333,0.109551765,0.07689081,female
36227219,0.049416214,0.1935896,female
55482997,0.083565004,0.41279092,male
28176987,0.04337759,0.20936607,male
203656084,0.13590889,0.7684098,male
317569543,0.53621066,0.54421914,female
308817567,0.0,0.15796947,male
75281385,0.111224525,1.067535,female
294864398,0.0,0.029950807,male
43019337,0.041447774,0.026505204,female
94761111,0.07715408,0.21199457,male
57552116,0.7777013,0.35214737,male
267932188,0.24232826,0.44386768,male
327994124,0.0,0.108372234,male
349944244,0.12804952,0.0896843,female
362257288,0.77414334,0.3048676,male
197700578,0.04712535,0.24404709,male
80862068,0.0,0.08644295,male
246415736,0.032843694,0.19206803,male
240492997,0.15629157,0.35476232,male
257513036,0.11226147,0.22105242,female
271739194,0.01744635,0.21827228,male
294037425,0.009037113,0.049224608,male
275725843,0.06514963,0.12736247,female
57798273,0.009600562,0.06056098,female
189895266,0.106354885,0.38249847,female
49100561,0.21584839,0.14523329,male
32331128,0.39132032,0.96288913,male
40067619,0.2520384,0.27441105,female
25821356,0.80240893,1.52112,male
233808043,0.14451934,0.27693245,female
183115415,2.777397,1.4443581,female
332456403,0.0,0.11097468,male
59524706,0.30152473,0.31920516,male
196757095,0.0,0.30805945,female
230097513,0.13271895,0.08991629,female
319450103,0.26204702,0.3930535,male
343104919,0.032136317,0.17394274,female
52736381,0.107430406,0.32785556,male
281289188,0.0,0.11438795,male
300928318,0.32591394,0.059948478,female
68979118,0.09313522,0.1962671,female
51877583,0.2505345,0.2585642,female
231083817,0.2509927,0.23800197,female
86168724,0.29540345,0.58710134,male
234669118,0.1716024,0.017057046,male
84167314,2.1400371E-4,7.554571E-4,male
271157909,0.033923462,0.040932402,female
8465072,0.06473271,0.5459901,male
377660514,0.42143983,0.33887488,female
135782947,0.090890445,0.60870075,male
323127182,0.017740998,0.07462843,male
363979395,0.01687206,0.0744977,female
350854412,0.00900099,0.065777265,male
251717831,0.20906778,0.26754984,female
254748618,0.03767281,0.08767919,female
26834776,0.78650886,0.73450077,female
340007841,0.50380695,0.26027358,female
333794696,0.0,0.11217266,male
40925887,0.11338611,0.3775245,male
346073826,0.015463798,0.125454,male
96066368,0.3753991,0.20112482,female
40604299,0.0,0.37498134,male
288715240,0.1644021,0.23084329,female
253438069,0.26235974,0.74409634,female
351687363,0.12778474,0.14833947,female
114044206,0.004886153,0.011559011,male
363847840,0.12683448,0.11541947,male
42569198,0.11197537,0.5659855,male
287350897,0.046094768,0.09659767,female
150383104,0.023224829,0.04597712,female
344215167,0.032743372,0.065331146,female
234586270,0.48083287,0.618964,female
241666095,0.0,0.058836393,male
34768779,1.3301629,1.8360547,female
95671622,0.0,0.12814337,male
64367166,0.0,0.12246716,male
296433109,0.0,0.42503166,male
353824529,0.07377143,0.34045663,female
20214831,0.084573835,0.6973364,male
264628404,0.17521456,0.48955384,male
155010707,1.5651741,1.4245186,male
32623333,0.27527365,0.24181156,female
279781693,0.45413512,0.1830903,female
144415967,0.47044307,0.5189264,female
351067358,0.59906095,0.44453663,female
302258234,0.13160923,0.15936999,female
262346368,0.061604623,0.286783,male
176663017,0.6109749,0.54535604,female
161521811,0.067573994,0.19225411,female
280777389,0.10515869,0.06386567,female
52975520,0.14509022,0.65669394,male
227108149,0.28586015,0.29795438,male
160059197,0.35234883,0.8243292,male
40352693,0.7699431,0.42431685,male
794695,0.21800444,0.3936322,male
163614757,0.0,0.061988004,male
60252529,0.014022917,0.025348973,male
251395294,0.17289855,0.12685116,female
231970972,0.13910764,0.23730539,female
304705046,0.46962646,0.32276794,female
309303548,0.03362429,0.13652004,female
310445971,0.13581884,0.30321857,male
123986340,0.110491775,0.8768261,male
30822218,0.91977113,0.8262031,female
100119657,0.45643064,0.400808,female
253766808,0.038241167,0.0,female
125217315,0.054913055,0.20156333,female
25897435,0.30874905,0.48196727,female
310492568,0.028260568,0.23916744,male
24472132,0.39489836,0.13966429,male
320431059,0.0,0.058340326,male
392169870,0.0,0.02955542,female
81860959,0.020619093,0.1215587,male
279177113,0.13847506,0.15883157,female
41536249,0.028258521,0.22168368,male
169001284,0.10050617,0.12782429,female
198189594,1.2534646,1.2104406,female
238867925,0.16054071,0.31348646,female
25693282,0.05167177,0.11475626,female
82341423,0.02267354,0.23919341,male
391823594,0.0,0.23806097,female
230580525,0.110610895,0.032486737,male
66154344,0.08444065,0.17646147,male
255799705,0.0,0.60892344,male
327078534,0.0,0.03280437,male
321647306,0.0,0.058431078,male
381572221,0.0,0.13119745,male
139272125,0.06564538,0.25380445,male
218526813,0.2637619,0.2038796,male
195369385,0.45204037,0.47019112,female
219049295,0.036375985,0.031126061,male
257106582,0.84654987,1.0679616,female
162988060,0.15808882,0.22508863,female
90233061,0.22944611,0.94804347,female
336950490,0.00914271,0.020166317,male
347613520,0.07200196,0.1353005,male
259533576,0.20792411,0.38532615,female
307701289,0.0,0.32685927,male
404439154,0.16579452,0.7012268,male
134120927,0.07561874,0.34513572,female
222824120,0.09647229,0.14106637,female
96956807,0.12095637,0.60535604,male
278855391,0.67399913,0.685672,female
42510888,0.0,0.0970032,male
33135194,0.0,0.0,female
326509990,0.0,0.12531528,male
304796892,0.09423426,0.48497438,male
25963856,0.016091492,0.054801375,female
20999981,0.3697787,0.5584737,female
156393615,0.0,0.15344824,male
270479707,0.07838926,1.0605108,female
160659354,1.0058112,0.8355368,female
357813572,0.02612288,0.033356514,female
22177502,0.088857405,0.67829156,male
47992126,0.0,0.10121162,male
30972374,0.0,0.0738686,female
249449454,0.0,0.14652658,male
302662448,0.19113833,0.15554,male
61270735,0.0,0.16182056,female
61634536,0.1353079,0.60890716,female
382156129,0.06897737,1.1596234,male
25940641,0.13019995,0.27841827,female
241229843,0.2078128,0.22351106,male
368368493,0.062283706,0.052679062,female
93350436,0.046399556,0.15161976,male
91925221,0.111466944,0.6328186,male
22994551,0.0,0.13674387,male
70724896,0.12417779,0.5494375,male
286876100,0.112298355,0.0,female
12618492,0.047647912,0.19162245,male
322987477,0.0,0.23090553,male
135069683,0.0072180047,0.008005436,female
