Occupation,Category,Age Category
Abused substance,Misc,General
Actor,Acting,General
Adapted Work,Writing,General
Administrative Division,Social,General
Adult album alternative Artist,Music,General
Adult Film,Acting,Young
Aerospace Business,Business,General
Airline,Misc,General
Airport,Misc,General
Alternative Artist,Music,Old
Alternative country Artist,Music,Old
Alternative dance Artist,Music,General
Alternative hip hop Artist,Music,Young
Alternative metal Artist,Music,Young
American Football Cornerback,Sports,General
American Football Defensive end,Sports,General
American Football Defensive tackle,Sports,General
American football League,Sports,General
American Football Linebacker,Sports,General
American Football Placekicker,Sports,General
American football player,Sports,General
American Football Player,Sports,General
American Football Punter,Sports,General
American Football Quarterback,Sports,General
American Football Running back,Sports,General
American football team,Sports,General
American Football Tight end,Sports,General
American Football Wide receiver,Sports,General
Anatomical structure,Misc,General
Animal,Misc,General
Animated TV Program,Acting,General
Announcer,Entertainment,General
Architectural style,Misc,General
Armed Force,Security,General
Art Gallery,Art,General
Astronaut,Science,General
Astrophysicist,Science,General
Athlete,Sports,General
Audio engineer,Science,General
Author,Writing,General
Automobile Model,Misc,General
Automotive industry Business,Business,General
Avant-garde jazz Artist,Music,Old
Award,Entertainment,General
Award category,Entertainment,General
Award Nominee,Entertainment,General
Award Winner,Entertainment,General
Award-Nominated Work,Entertainment,General
Award-Winning Work,Entertainment,General
Baseball Catcher,Sports,General
Baseball First baseman,Sports,General
Baseball League,Sports,General
Baseball Pitcher,Sports,General
Baseball Player,Sports,General
Baseball Second baseman,Sports,General
Baseball Shortstop,Sports,General
Basketball Center,Sports,General
Basketball Player,Sports,General
Basketball player,Sports,General
Basketball Point guard,Sports,General
Basketball Shooting guard,Sports,General
Basketball Small forward,Sports,General
Bassist,Music,Old
Beer,Misc,General
Biological Genus,Science,General
Biological Order,Science,General
Biological Species,Science,General
Blog,Writing,General
Blog Website,Writing,General
Blogger,Writing,General
Blues Artist,Music,General
Body Of Water,Misc,General
Bodyguard,Security,General
Book,Writing,General
Book Edition,Writing,General
Boy band Artist,Music,General
Brand,Business,General
Broadcast Content,Entertainment,General
Broadcasting,Entertainment,General
Builder,Business,General
Business Operation,Business,General
Businessperson,Business,General
Canonical Version,Misc,General
Cartoonist,Art,General
Celebrity,Entertainment,General
Celestial Object,Science,General
Celestial object with coordinate system,Science,General
Chamber Musician,Music,General
Chat show,Entertainment,General
Chef,Art,General
Chess Player,Sports,Old
Choreographer,Acting,General
Christian hip hop Artist,Music,General
Cinematographer,Acting,General
City/Town/Village,Misc,General
Clothing Business,Business,General
College/University,Social,General
Comedian,Entertainment,General
Comic Book Character,Acting,General
Comic Book Creator,Writing,General
Comic Book Series,Writing,General
Commentator,Entertainment,General
Compact Disc Musical Release,Music,General
Composer,Music,General
Composition,Music,General
Conglomerate Business,Business,General
Constellation,Science,General
Contemporary Christian Artist,Music,General
Contemporary Structure,Misc,General
Country,Music,General
Country Artist,Music,General
Cricket Bowler,Sports,General
Criminal offense,Security,General
Critic,Acting,General
Crossover Artist,Entertainment,General
Crunk Artist,Music,Young
Currency,Misc,General
Dance-pop Artist,Music,General
Dancer,Entertainment,General
Database Website,Writing,General
Death metal Artist,Music,Young
Deceased Person,Misc,General
Degree,Social,General
Deity,Misc,General
Designer,Art,General
Diagnostic Test,Science,General
Division,Misc,General
Drag Queen,Entertainment,General
Dramatist,Acting,General
Dubstep Artist,Music,General
Economist,Business,General
Electro house Artist,Music,General
Electronic Artist,Music,General
Electronic rock Artist,Music,General
Electronica Artist,Music,General
Engineer,Science,General
English non-metropolitan county,Social,General
English Renaissance Work,Social,General
Entertainer,Entertainment,General
Entertainment Business,Business,General
Entrepreneur,Business,General
Ethnicity,Misc,General
Event,Misc,General
Experimental rock Artist,Music,General
Fashion Business,Business,General
Fashion designer,Art,General
Fashion Model,Entertainment,General
Fast food Business,Business,General
Fictional Character,Acting,General
Fictional Organization Type,Business,General
Field Of Study,Science,General
Film actor,Acting,General
Film Actor,Acting,General
Film Business,Business,General
Film character,Acting,General
Film crewmember,Acting,General
Film director,Acting,General
Film genre,Acting,General
Film Organization,Acting,General
Film producer,Acting,General
Film Producer,Acting,General
Film score Artist,Acting,General
Film subject,Acting,General
Flamenco Artist,Music,General
Folk rock Artist,Music,General
Food,Misc,General
Football Competition,Sports,General
Football League,Sports,General
Football team,Sports,General
Funk Artist,Music,General
Gangsta rap Artist,Music,General
Garment,Business,General
General election,Politics,General
Geographical Feature,Misc,General
Geographical feature category,Misc,General
Golfer,Sports,General
Government Agency,Politics,General
Greek Revival Structure,Misc,General
Grocery Stores Business,Business,General
Guitarist,Music,General
Gymnast,Sports,General
Hairdresser,Art,General
Hall of fame,Entertainment,General
Hardcore hip hop Artist,Music,Young
Hardcore punk Artist,Music,Young
Heavy metal Artist,Music,Young
Hip hop Album,Music,Young
Hip hop Artist,Music,Young
Hip hop soul Artist,Music,Young
Hobby,Misc,General
Horrorcore Artist,Music,Old
Ice Hockey Defenceman,Sports,General
Ice Hockey Left Winger,Sports,General
Ice Hockey Right winger,Sports,General
Indie rock Artist,Music,General
Industry,Business,General
Invention,Science,General
Jewelry Stores Business,Business,General
Journalist,Entertainment,General
Klezmer Artist,Music,General
Late Night TV Show,Entertainment,General
Latin pop Artist,Music,General
Lawyer,Social,General
Lead Vocalist,Music,General
Legislative session,Social,General
Literary Magazine,Writing,General
Literary Series,Writing,General
Location,Misc,General
Magazine,Writing,General
Magician,Entertainment,General
Man,Misc,General
Manufacturing,Business,General
Mariachi Album,Music,General
Martial Artist,Security,General
Metalcore Artist,Music,General
Mexican Dish,Misc,General
Military Commander,Security,General
Military Conflict,Security,General
Military Person,Security,General
Mixed martial arts Organization,Security,General
MMORPG Video Game,Entertainment,General
Model,Entertainment,General
Modeling agency Business,Business,General
Monarch,Politics,General
Motivational speaker,Entertainment,General
Museum,Entertainment,General
Music theatre Play,Music,General
Music video performer,Music,General
Music Website,Music,General
Musical Album,Music,General
Musical Artist,Music,General
Musical genre,Music,General
Musical Group,Music,General
Musical Recording,Music,General
Musical Release,Music,General
Musician,Music,General
Neo soul Artist,Music,General
Neoclassical Structure,Misc,General
New jack swing Artist,Music,General
New Wave Artist,Music,General
Newspaper,Entertainment,General
Noble title,Social,General
Nonprofit organization,Social,General
Novel,Writing,General
Novelist,Writing,General
Nutrient,Misc,General
Old school hip hop Artist,Music,General
Olympic athlete,Sports,General
Olympic Basketball Player,Sports,General
Olympic Judo Athlete,Sports,General
Operatic pop Artist,Music,General
Operating system Software,Science,General
Organization,Business,General
Organization founder,Business,General
Organization leader,Business,General
Painting Artist,Art,General
Palace,Misc,General
Parliamentary Democracy,Politics,General
Pastor,Religious,General
Pedigreed animal,Misc,General
Person,Misc,General
Person Or Being In Fiction,Acting,General
Person or entity appearing in film,Acting,General
Philosopher,Writing,General
Physician,Science,General
Physicist,Science,General
Podcast Feed,Misc,General
Poem,Writing,General
Political ideology,Politics,General
Political party,Politics,General
Politician,Politics,General
Pop Artist,Music,General
Pop rock Artist,Music,General
Pornographic actor,Acting,General
Presenter,Entertainment,General
Printmaking Artist,Writing,General
Profession,Social,General
Professional American Football Player,Sports,General
Professional Artistic Gymnast,Sports,General
Professional Association Football Player,Sports,General
Professional Boxer,Sports,General
Professional Ice hockey Player,Sports,General
Professional Road Racing Cyclist,Sports,General
Professional Sports Team,Sports,General
Professor,Social,General
Progressive electronic Artist,Music,General
Progressive rock Artist,Music,Young
Promoter,Entertainment,General
Psych folk Artist,Music,Young
Psychedelic rock Artist,Music,Young
Public high school,Social,Young
Publication,Writing,General
Publisher,Writing,General
Quotation,Writing,General
Quotation Subject,Writing,General
Racecar driver,Sports,General
Radio format,Entertainment,General
Radio network,Entertainment,General
Radio personality,Entertainment,General
Radio Station,Entertainment,General
Radio station owner,Business,General
Ragga Artist,Music,General
Record label,Music,General
Record Producer,Music,General
Reggae fusion Artist,Music,General
Reggaeton Album,Music,General
Reggaeton Artist,Music,General
Religious Leader,Religious,General
Religious Practice,Religious,General
Religious Text,Religious,General
Rhythm and blues Artist,Music,General
River,Misc,General
Rock Album,Music,General
Rock Artist,Music,General
Romance Film,Acting,General
Royal line,Politics,General
Rugby Player,Sports,General
Rugby union Team,Sports,General
Sailing Dinghy,Sports,General
Screamo Artist,Music,General
Screenwriter,Writing,General
Secret society,Social,General
Ship type,Misc,General
Simulation Video Game,Entertainment,General
Singer,Music,General
Singer-songwriter,Music,General
Ska Artist,Music,General
Skateboarder,Sports,General
Snowboarder,Sports,General
Soccer,Sports,General
Soccer Midfielder,Sports,General
Social network service Website,Business,General
Socialite,Social,General
Soft rock Artist,Music,General
Software,Science,General
Songwriter,Music,General
Southern rap Artist,Music,General
Space Mission,Science,General
Spacecraft,Science,General
Special Interest TV Program,Entertainment,General
Spokesman,Entertainment,General
Sports Association,Sports,General
Sports commentator,Sports,General
Sports League Season,Sports,General
Sports TV Program,Sports,General
Stand-up comedian,Entertainment,General
Statesman,Business,General
Statistician,Science,General
Supermodel,Entertainment,General
Surfer,Sports,General
Swimmer,Sports,General
Talk show host,Entertainment,General
Teacher,Social,General
Teen pop Artist,Music,Young
Televangelist,Entertainment,General
Television Broadcasting Business,Business,General
Tennis Player,Sports,General
Tennis Tournament,Sports,General
theatre Artist,Acting,General
Theatrical producer,Acting,General
Thriller TV Program,Acting,General
Tourist attraction,Misc,General
Tournament event competition,Sports,General
Track and field athlete,Sports,General
Trade journal Magazine,Business,General
Transit Vehicle Type,Misc,General
TV Actor,Acting,General
TV Character,Acting,General
TV chef,Acting,General
TV Co-Host,Acting,General
TV Comedy Drama,Entertainment,General
TV Contestant,Acting,General
TV Documentary Program,Acting,General
TV Episode,Acting,General
TV Genre,Acting,General
TV Host,Acting,General
TV Journalist,Entertainment,General
TV Network,Entertainment,General
TV Personality,Entertainment,General
TV Producer,Acting,General
TV Program,Acting,General
TV Self-Portrayor,Acting,General
TV Sitcom,Acting,General
TV Station,Acting,General
TV Talent Show,Entertainment,General
TV Talk Show,Entertainment,General
TV Variety Show,Entertainment,General
TV Writer,Acting,General
U.S. Congressperson,Politics,General
Unit of Energy,Science,General
Unit of Plane Angle,Science,General
Urban contemporary gospel Artist,Music,General
US President,Politics,General
V: Protected Landscape/Seascape,Misc,General
Venture Funded Company,Business,General
Venue,Misc,General
Video Game,Entertainment,General
Video game Business,Business,General
Video Game Developer,Science,General
Video Game Platform,Science,General
Voice actor,Acting,General
Volunteer Organization,Social,General
Web browser,Science,General
Web mapping Website,Writing,General
Website,Writing,General
Website Category,Writing,General
Wiki Website,Writing,General
Woman,Misc,General
Wrestler,Sports,General
Writer,Writing,General
